,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
302,15708,8,BIO 749-01,Research Lab Rotations,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,12,15,3,M,biology,,0
303,12512,"1,8,11,159",BIO 790-00,Directed Study in Env Hlth Sci,1,IND,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
304,11409,"1,8,11,159",BIO 790-01,Directed Study in Env Hlth Sci,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
305,12196,"1,8,11,159",BIO 790-02,Directed Study in Env Hlth Sci,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
306,12197,"1,8,11,159",BIO 790-03,Directed Study in Env Hlth Sci,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
307,12198,"1,8,11,159",BIO 790-04,Directed Study in Env Hlth Sci,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
308,12199,"1,8,11,159",BIO 790-05,Directed Study in Env Hlth Sci,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
309,12200,"1,8,11,159",BIO 790-06,Directed Study in Env Hlth Sci,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
310,12201,"1,8,11,159",BIO 790-07,Directed Study in Env Hlth Sci,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
311,12202,"1,8,11,159",BIO 790-08,Directed Study in Env Hlth Sci,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
312,12203,"1,8,11,159",BIO 790-09,Directed Study in Env Hlth Sci,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
313,12204,"1,8,11,159",BIO 790-10,Directed Study in Env Hlth Sci,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
314,12205,"1,8,11,159",BIO 790-12,Directed Study in Env Hlth Sci,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
315,12206,"1,8,11,159",BIO 790-13,Directed Study in Env Hlth Sci,1,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
316,12207,"1,8,11,159",BIO 790-14,Directed Study in Env Hlth Sci,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
317,12208,"1,8,11,159",BIO 790-15,Directed Study in Env Hlth Sci,1,IND,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
318,12209,"1,8,11,159",BIO 790-16,Directed Study in Env Hlth Sci,1,IND,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
319,12210,"1,8,11,159",BIO 790-17,Directed Study in Env Hlth Sci,1,IND,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
320,12211,"1,8,11,159",BIO 790-18,Directed Study in Env Hlth Sci,1,IND,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
321,12212,"1,8,11,159",BIO 790-19,Directed Study in Env Hlth Sci,1,IND,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
322,12213,"1,8,11,159",BIO 790-20,Directed Study in Env Hlth Sci,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
323,12214,"1,8,11,159",BIO 790-21,Directed Study in Env Hlth Sci,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
324,12215,"1,8,11,159",BIO 790-22,Directed Study in Env Hlth Sci,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
325,12216,"1,8,11,159",BIO 790-23,Directed Study in Env Hlth Sci,1,IND,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
326,12864,"1,8,11,159",BIO 790-24,Directed Study in Env Hlth Sci,1,IND,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
327,11410,"1,11,159",BIO 791-01,Independent Doctoral Research,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,4,5,1,M,biology,,0
328,12217,"1,11,159",BIO 791-02,Independent Doctoral Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
329,12218,"1,11,159",BIO 791-03,Independent Doctoral Research,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
330,12219,"1,11,159",BIO 791-04,Independent Doctoral Research,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
331,12220,"1,11,159",BIO 791-05,Independent Doctoral Research,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
332,12222,"1,11,159",BIO 791-06,Independent Doctoral Research,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
333,12224,"1,11,159",BIO 791-07,Independent Doctoral Research,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
334,12226,"1,11,159",BIO 791-08,Independent Doctoral Research,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
335,12227,"1,11,159",BIO 791-09,Independent Doctoral Research,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
336,12228,"1,11,159",BIO 791-10,Independent Doctoral Research,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
337,12229,"1,11,159",BIO 791-12,Independent Doctoral Research,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
338,12230,"1,11,159",BIO 791-13,Independent Doctoral Research,1,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
339,12231,"1,11,159",BIO 791-14,Independent Doctoral Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
340,12232,"1,11,159",BIO 791-15,Independent Doctoral Research,1,IND,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
341,12233,"1,11,159",BIO 791-16,Independent Doctoral Research,1,IND,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
342,12234,"1,11,159",BIO 791-17,Independent Doctoral Research,1,IND,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
343,12235,"1,11,159",BIO 791-18,Independent Doctoral Research,1,IND,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
344,12236,"1,11,159",BIO 791-19,Independent Doctoral Research,1,IND,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
345,12237,"1,11,159",BIO 791-20,Independent Doctoral Research,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
346,12238,"1,11,159",BIO 791-21,Independent Doctoral Research,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,4,5,1,M,biology,,0
347,12239,"1,11,159",BIO 791-22,Independent Doctoral Research,1,IND,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
348,12240,"1,11,159",BIO 791-23,Independent Doctoral Research,1,IND,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
349,12865,"1,11,159",BIO 791-24,Independent Doctoral Research,1,IND,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,5,5,0,M,biology,,0
350,11411,"11,159",BIO 799-01,Dissertation,1,DTS,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
351,12241,"11,159",BIO 799-02,Dissertation,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
352,12242,"11,159",BIO 799-03,Dissertation,1,DTS,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
353,12243,"11,159",BIO 799-04,Dissertation,1,DTS,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
354,12244,"11,159",BIO 799-05,Dissertation,1,DTS,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
355,12245,"11,159",BIO 799-06,Dissertation,1,DTS,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
356,12246,"11,159",BIO 799-07,Dissertation,1,DTS,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
357,12247,"11,159",BIO 799-08,Dissertation,1,DTS,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
358,12248,"11,159",BIO 799-09,Dissertation,1,DTS,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
359,12249,"11,159",BIO 799-10,Dissertation,1,DTS,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
360,12250,"11,159",BIO 799-12,Dissertation,1,DTS,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
361,12253,"11,159",BIO 799-13,Dissertation,1,DTS,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
362,12254,"11,159",BIO 799-14,Dissertation,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
363,12255,"11,159",BIO 799-15,Dissertation,1,DTS,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
364,12256,"11,159",BIO 799-16,Dissertation,1,DTS,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
365,12257,"11,159",BIO 799-17,Dissertation,1,DTS,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
366,12258,"11,159",BIO 799-18,Dissertation,1,DTS,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
367,12259,"11,159",BIO 799-19,Dissertation,1,DTS,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
368,12260,"11,159",BIO 799-20,Dissertation,1,DTS,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
369,12261,"11,159",BIO 799-21,Dissertation,1,DTS,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
370,12262,"11,159",BIO 799-22,Dissertation,1,DTS,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
371,12263,"11,159",BIO 799-23,Dissertation,1,DTS,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
372,12866,"11,159",BIO 799-24,Dissertation,1,DTS,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
373,11412,159,BIO 801-01,Thesis Extension,1,DTS,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
374,12264,159,BIO 801-02,Thesis Extension,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
375,12265,159,BIO 801-03,Thesis Extension,1,DTS,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
376,12266,159,BIO 801-04,Thesis Extension,1,DTS,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
377,12267,159,BIO 801-05,Thesis Extension,1,DTS,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
378,12268,159,BIO 801-06,Thesis Extension,1,DTS,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
379,12269,159,BIO 801-07,Thesis Extension,1,DTS,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
380,12270,159,BIO 801-08,Thesis Extension,1,DTS,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
381,12271,159,BIO 801-09,Thesis Extension,1,DTS,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
382,12272,159,BIO 801-10,Thesis Extension,1,DTS,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
383,12273,159,BIO 801-12,Thesis Extension,1,DTS,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
384,12274,159,BIO 801-13,Thesis Extension,1,DTS,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,13,13,0,M,biology,,0
385,12275,159,BIO 801-14,Thesis Extension,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
386,12276,159,BIO 801-15,Thesis Extension,1,DTS,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
387,12277,159,BIO 801-16,Thesis Extension,1,DTS,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
388,12278,159,BIO 801-17,Thesis Extension,1,DTS,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
389,12279,159,BIO 801-18,Thesis Extension,1,DTS,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
390,12280,159,BIO 801-19,Thesis Extension,1,DTS,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
391,12281,159,BIO 801-20,Thesis Extension,1,DTS,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
392,12282,159,BIO 801-21,Thesis Extension,1,DTS,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
393,12283,159,BIO 801-22,Thesis Extension,1,DTS,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
394,12284,159,BIO 801-23,Thesis Extension,1,DTS,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
395,12867,159,BIO 801-24,Thesis Extension,1,DTS,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
396,14426,159,BIO 802-01,Dissertation Extension,1,DTS,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
397,14482,159,BIO 802-02,Dissertation Extension,1,DTS,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
398,14483,159,BIO 802-03,Dissertation Extension,1,DTS,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
399,15709,159,BIO 802-04,Dissertation Extension,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,1,1,0,M,biology,,0
400,15932,159,BIO 802-05,Dissertation Extension,1,DTS,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
401,11413,159,BIO 803-01,Grad Resrch Proj Ext,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
402,12285,159,BIO 803-02,Grad Resrch Proj Ext,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
403,12286,159,BIO 803-03,Grad Resrch Proj Ext,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
404,12287,159,BIO 803-04,Grad Resrch Proj Ext,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
405,12288,159,BIO 803-05,Grad Resrch Proj Ext,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
406,12289,159,BIO 803-06,Grad Resrch Proj Ext,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
407,12290,159,BIO 803-07,Grad Resrch Proj Ext,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
408,12291,159,BIO 803-08,Grad Resrch Proj Ext,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
409,12292,159,BIO 803-09,Grad Resrch Proj Ext,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
410,12293,159,BIO 803-10,Grad Resrch Proj Ext,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
411,12294,159,BIO 803-12,Grad Resrch Proj Ext,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
412,12295,159,BIO 803-13,Grad Resrch Proj Ext,1,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
413,12296,159,BIO 803-14,Grad Resrch Proj Ext,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
414,12297,159,BIO 803-15,Grad Resrch Proj Ext,1,IND,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
415,12298,159,BIO 803-16,Grad Resrch Proj Ext,1,IND,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
416,12299,159,BIO 803-17,Grad Resrch Proj Ext,1,IND,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
417,12300,159,BIO 803-18,Grad Resrch Proj Ext,1,IND,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
418,12301,159,BIO 803-19,Grad Resrch Proj Ext,1,IND,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
419,12302,159,BIO 803-20,Grad Resrch Proj Ext,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
420,12303,159,BIO 803-21,Grad Resrch Proj Ext,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
421,12304,159,BIO 803-22,Grad Resrch Proj Ext,1,IND,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
422,12305,159,BIO 803-23,Grad Resrch Proj Ext,1,IND,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
423,12868,159,BIO 803-24,Grad Resrch Proj Ext,1,IND,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
424,10047,,CHE 101-01,Introductory Chemistry,3,LEC,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,EBER 250,.ENV.GNS.GPS,92,225,133,M,chemistry,,1
425,10048,,CHE 103-01,General Descriptive Chem I,3,LEC,Mary A. Gerhard,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 201,.ENV.GNS.GPS.SUS,1,120,119,M,chemistry,,1
426,17116,30,CHE 103-02,General Descriptive Chem I,3,WEB,Sarmad S. Hindo,08-JAN-2018 to 25-APR-2018,,,,.ENV.GNS.GPS.SUS,-1,39,40,M,chemistry,,1
427,17003,"29,30,141",CHE 103-02D,General Descriptive Chem I,3,WEB,Sarmad S. Hindo,08-JAN-2018 to 25-APR-2018,,,,.ENV.GNS.GPS.SUS,-1,0,1,D,chemistry,,1
428,10049,,CHE 104-01,General Descriptive Chem II,3,LEC,Mary A. Gerhard,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SULV 101,.GNS.GPS,20,140,120,M,chemistry,,1
429,10050,,CHE 104-02,General Descriptive Chem II,3,LEC,Mary A. Gerhard,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 101,.GNS.GPS,13,140,127,M,chemistry,,1
430,17388,,CHE 104-03,General Descriptive Chem II,3,LEC,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,PETT 219,.GNS.GPS,18,40,22,M,chemistry,,1
431,10055,3,CHE 110-01,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,1
432,10056,3,CHE 110-02,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,1
433,10057,3,CHE 110-03,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,1,21,20,M,chemistry,,1
434,10058,3,CHE 110-04,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,-1,3,4,M,chemistry,,1
435,10059,3,CHE 110-05,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,0800-0920,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,1
436,10060,3,CHE 110-06,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,0800-0920,SULV 233,.ENV.GNS.GPS.SUS,11,24,13,M,chemistry,,1
437,10061,3,CHE 110-07,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,1
438,10062,3,CHE 110-08,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,2,24,22,M,chemistry,,1
439,10063,3,CHE 110-09,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,1
440,10064,3,CHE 110-10,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,1
441,10065,3,CHE 110-11,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,1
442,10066,3,CHE 110-12,Introductory Chemistry Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,13,24,11,M,chemistry,,1
443,10051,3,CHE 111-01,General Chemistry I,3,LEC,Huiyuan Hu,08-JAN-2018 to 25-APR-2018,T R,1730-1845,SULV 201,.ENV.GNS.GPS.SUS,19,120,101,M,chemistry,,3
444,10052,3,CHE 111-02,General Chemistry I,3,LEC,Huiyuan Hu,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 201,.ENV.GNS.GPS.SUS,4,120,116,M,chemistry,,3
445,12599,3,CHE 111-03,General Chemistry I,3,LEC,Huiyuan Hu,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SULV 101,.ENV.GNS.GPS.SUS,-2,140,142,M,chemistry,,3
446,10067,3,CHE 112-01,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1100-1220,SULV 355,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,3
447,10068,3,CHE 112-02,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1100-1220,SULV 355,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,3
448,10069,3,CHE 112-03,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,3
449,10070,3,CHE 112-04,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,3
450,10071,3,CHE 112-05,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
451,10072,3,CHE 112-06,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,2,24,22,M,chemistry,,3
452,10073,3,CHE 112-07,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0800-0920,SULV 355,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
453,10074,3,CHE 112-08,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0800-0920,SULV 355,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
454,10075,3,CHE 112-09,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,-1,24,25,M,chemistry,,3
455,10076,3,CHE 112-10,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
456,12600,3,CHE 112-11,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
457,12619,3,CHE 112-12,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M,chemistry,,3
458,13796,3,CHE 112-13,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M,chemistry,,3
459,13797,3,CHE 112-14,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,9,24,15,M,chemistry,,3
